Time,Data
11/7/2022 19:00,90.1
11/8/2022 19:00,100
11/9/2022 19:00,94.1
11/10/2022 19:00,74.9
11/11/2022 19:00,68.8
11/12/2022 19:00,81.3
11/13/2022 19:00,90.3
11/14/2022 19:00,90.1
11/15/2022 19:00,92
11/16/2022 19:00,89.8
11/17/2022 19:00,91.5
11/18/2022 19:00,87.7
11/19/2022 19:00,86.9
11/20/2022 19:00,96.2
11/21/2022 19:00,92.9
11/22/2022 19:00,85.2
11/23/2022 19:00,82
11/24/2022 19:00,81.1
11/25/2022 19:00,80.5
11/26/2022 19:00,80.4
11/27/2022 19:00,83.4
11/28/2022 19:00,89.4
11/29/2022 19:00,90.9
11/30/2022 19:00,93.4
12/1/2022 19:00,95.2
12/2/2022 19:00,86.3
12/3/2022 19:00,85.7
12/4/2022 19:00,94.4
12/5/2022 19:00,86.7
12/6/2022 19:00,84.8
12/7/2022 19:00,87.8
12/8/2022 19:00,87.5
12/9/2022 19:00,85.4
12/10/2022 19:00,83.3
12/11/2022 19:00,91.3
12/12/2022 19:00,96.5
12/13/2022 19:00,94.1
12/14/2022 19:00,91.8
12/15/2022 19:00,88.6
12/16/2022 19:00,85.3
12/17/2022 19:00,87.5
12/18/2022 19:00,91.3
12/19/2022 19:00,91.7
12/20/2022 19:00,92.5
12/21/2022 19:00,90.5
12/22/2022 19:00,81.5
12/23/2022 19:00,76.4
12/24/2022 19:00,75.1
12/25/2022 19:00,76
12/26/2022 19:00,86.9
12/27/2022 19:00,84.2
12/28/2022 19:00,81.7
12/29/2022 19:00,78.5
12/30/2022 19:00,75.6
12/31/2022 19:00,74.9
1/1/2023 19:00,78.1
1/2/2023 19:00,83.7
1/3/2023 19:00,83.1
1/4/2023 19:00,82.8
1/5/2023 19:00,86.8
1/6/2023 19:00,80.8
1/7/2023 19:00,83.6
1/8/2023 19:00,91.2
1/9/2023 19:00,93.8
1/10/2023 19:00,94.6
1/11/2023 19:00,92.6
1/12/2023 19:00,87.1
1/13/2023 19:00,88.3
1/14/2023 19:00,89.1
1/15/2023 19:00,90.3
1/16/2023 19:00,94.7
1/17/2023 19:00,94.7
1/18/2023 19:00,93.2
1/19/2023 19:00,91.8
1/20/2023 19:00,90.1
1/21/2023 19:00,89.7
1/22/2023 19:00,93.3
1/23/2023 19:00,93.2
1/24/2023 19:00,97
1/25/2023 19:00,93.3
1/26/2023 19:00,98.8
1/27/2023 19:00,90.3
1/28/2023 19:00,86.3
1/29/2023 19:00,91.6
1/30/2023 19:00,100
1/31/2023 19:00,99
2/1/2023 19:00,96.3
2/2/2023 19:00,96.4
2/3/2023 19:00,91.1
2/4/2023 19:00,86.1
2/5/2023 19:00,92.6
2/6/2023 19:00,97.3
2/7/2023 19:00,97.7
2/8/2023 19:00,98.9
2/9/2023 19:00,91.4
2/10/2023 19:00,91.5
2/11/2023 19:00,88.2
2/12/2023 19:00,95.9
2/13/2023 19:00,96.6
2/14/2023 19:00,92.3
2/15/2023 19:00,90.3
2/16/2023 19:00,89.7
2/17/2023 19:00,89.8
2/18/2023 19:00,89.7
2/19/2023 19:00,97.5
2/20/2023 19:00,97.1
2/21/2023 19:00,97.9
2/22/2023 19:00,96.3
2/23/2023 19:00,99.1
2/24/2023 19:00,92.5
2/25/2023 19:00,87.4
2/26/2023 19:00,95.5
2/27/2023 19:00,91.6
2/28/2023 19:00,96.4
3/1/2023 19:00,90.7
3/2/2023 19:00,95.6
3/3/2023 19:00,84.6
3/4/2023 19:00,87.1
3/5/2023 19:00,95.6
3/6/2023 19:00,97.6
3/7/2023 19:00,99.9
3/8/2023 19:00,96.3
3/9/2023 19:00,96.9
3/10/2023 19:00,89.7
3/11/2023 19:00,87.2
3/12/2023 20:00,93.5
3/13/2023 20:00,89.4
3/14/2023 20:00,97.4
3/15/2023 20:00,101
3/16/2023 20:00,94
3/17/2023 20:00,89.4
3/18/2023 20:00,93.4
3/19/2023 20:00,101
3/20/2023 20:00,97.8
3/21/2023 20:00,94.5
3/22/2023 20:00,93.2
3/23/2023 20:00,92.1
3/24/2023 20:00,86.8
3/25/2023 20:00,85
3/26/2023 20:00,94
3/27/2023 20:00,95
3/28/2023 20:00,96.3
3/29/2023 20:00,98.6
3/30/2023 20:00,94.6
3/31/2023 20:00,82.9
4/1/2023 20:00,89.8
4/2/2023 20:00,95.8
4/3/2023 20:00,86.8
4/4/2023 20:00,85
4/5/2023 20:00,79.8
4/6/2023 20:00,93.4
4/7/2023 20:00,88.8
4/8/2023 20:00,86.2
4/9/2023 20:00,92
4/10/2023 20:00,91.5
4/11/2023 20:00,91.2
4/12/2023 20:00,92.6
4/13/2023 20:00,85.9
4/14/2023 20:00,81.6
4/15/2023 20:00,77.2
4/16/2023 20:00,91.1
4/17/2023 20:00,99.9
4/18/2023 20:00,101
4/19/2023 20:00,97.4
4/20/2023 20:00,90.6
4/21/2023 20:00,79.6
4/22/2023 20:00,84.8
4/23/2023 20:00,95.9
4/24/2023 20:00,95.8
4/25/2023 20:00,97
4/26/2023 20:00,94.7
4/27/2023 20:00,92.1
4/28/2023 20:00,87.1
4/29/2023 20:00,84.3
4/30/2023 20:00,95.9
5/1/2023 20:00,99.1
5/2/2023 20:00,97.2
5/3/2023 20:00,90.7
5/4/2023 20:00,86
5/5/2023 20:00,79.8
5/6/2023 20:00,81.5
5/7/2023 20:00,79.6
5/8/2023 20:00,83.7
5/9/2023 20:00,69.3
5/10/2023 20:00,77.7
5/11/2023 20:00,73.1
5/12/2023 20:00,66.8
5/13/2023 20:00,70.7
5/14/2023 20:00,82.1
5/15/2023 20:00,83.1
5/16/2023 20:00,82.2
5/17/2023 20:00,84.8
5/18/2023 20:00,76
5/19/2023 20:00,64
5/20/2023 20:00,67.7
5/21/2023 20:00,73
