Time,Data
11/7/2022 19:00,48.9
11/8/2022 19:00,49.2
11/9/2022 19:00,48.3
11/10/2022 19:00,48.5
11/11/2022 19:00,39.1
11/12/2022 19:00,37
11/13/2022 19:00,46
11/14/2022 19:00,47.8
11/15/2022 19:00,48.2
11/16/2022 19:00,48.1
11/17/2022 19:00,46.8
11/18/2022 19:00,37.8
11/19/2022 19:00,36.2
11/20/2022 19:00,44.6
11/21/2022 19:00,45.1
11/22/2022 19:00,41.5
11/23/2022 19:00,41.1
11/24/2022 19:00,39.9
11/25/2022 19:00,34.9
11/26/2022 19:00,36
11/27/2022 19:00,43.4
11/28/2022 19:00,45.1
11/29/2022 19:00,46.7
11/30/2022 19:00,48.5
12/1/2022 19:00,50
12/2/2022 19:00,41.8
12/3/2022 19:00,38.6
12/4/2022 19:00,48.3
12/5/2022 19:00,49.4
12/6/2022 19:00,51.8
12/7/2022 19:00,48.2
12/8/2022 19:00,46.1
12/9/2022 19:00,38.3
12/10/2022 19:00,36.9
12/11/2022 19:00,46.7
12/12/2022 19:00,47.9
12/13/2022 19:00,47
12/14/2022 19:00,45
12/15/2022 19:00,43.1
12/16/2022 19:00,37.2
12/17/2022 19:00,35.8
12/18/2022 19:00,42
12/19/2022 19:00,42.1
12/20/2022 19:00,42.2
12/21/2022 19:00,37.7
12/22/2022 19:00,35
12/23/2022 19:00,33.9
12/24/2022 19:00,33.2
12/25/2022 19:00,38.3
12/26/2022 19:00,38.8
12/27/2022 19:00,38.3
12/28/2022 19:00,37.8
12/29/2022 19:00,38.2
12/30/2022 19:00,32.7
12/31/2022 19:00,32
1/1/2023 19:00,37.6
1/2/2023 19:00,43.6
1/3/2023 19:00,43.7
1/4/2023 19:00,43.4
1/5/2023 19:00,40.3
1/6/2023 19:00,33.1
1/7/2023 19:00,32.7
1/8/2023 19:00,40.6
1/9/2023 19:00,43.1
1/10/2023 19:00,43.3
1/11/2023 19:00,43.5
1/12/2023 19:00,42.6
1/13/2023 19:00,35.7
1/14/2023 19:00,36.4
1/15/2023 19:00,42.6
1/16/2023 19:00,45.5
1/17/2023 19:00,44.6
1/18/2023 19:00,40.5
1/19/2023 19:00,38.7
1/20/2023 19:00,31
1/21/2023 19:00,31.1
1/22/2023 19:00,41
1/23/2023 19:00,44.5
1/24/2023 19:00,45.3
1/25/2023 19:00,43.4
1/26/2023 19:00,42
1/27/2023 19:00,34
1/28/2023 19:00,33.9
1/29/2023 19:00,43.4
1/30/2023 19:00,46.2
1/31/2023 19:00,45
2/1/2023 19:00,46.1
2/2/2023 19:00,45.8
2/3/2023 19:00,35.5
2/4/2023 19:00,31.1
2/5/2023 19:00,43.5
2/6/2023 19:00,45.2
2/7/2023 19:00,44.4
2/8/2023 19:00,42.3
2/9/2023 19:00,43.2
2/10/2023 19:00,35.2
2/11/2023 19:00,33.1
2/12/2023 19:00,44.1
2/13/2023 19:00,46.8
2/14/2023 19:00,45.9
2/15/2023 19:00,45.5
2/16/2023 19:00,46.5
2/17/2023 19:00,38
2/18/2023 19:00,36.7
2/19/2023 19:00,47
2/20/2023 19:00,49.9
2/21/2023 19:00,48.5
2/22/2023 19:00,50.5
2/23/2023 19:00,49.7
2/24/2023 19:00,36.6
2/25/2023 19:00,35.5
2/26/2023 19:00,46.7
2/27/2023 19:00,47.6
2/28/2023 19:00,49.6
3/1/2023 19:00,50.2
3/2/2023 19:00,48.9
3/3/2023 19:00,38.3
3/4/2023 19:00,37.6
3/5/2023 19:00,48.3
3/6/2023 19:00,51
