Time,Data
11/7/2022 19:00,943
11/8/2022 19:00,942
11/9/2022 19:00,952
11/10/2022 19:00,984
11/11/2022 19:00,958
11/12/2022 19:00,933
11/13/2022 19:00,943
11/14/2022 19:00,953
11/15/2022 19:00,966
11/16/2022 19:00,956
11/17/2022 19:00,953
11/18/2022 19:00,926
11/19/2022 19:00,930
11/20/2022 19:00,947
11/21/2022 19:00,940
11/22/2022 19:00,935
11/23/2022 19:00,912
11/24/2022 19:00,923
11/25/2022 19:00,925
11/26/2022 19:00,918
11/27/2022 19:00,954
11/28/2022 19:00,947
11/29/2022 19:00,961
11/30/2022 19:00,944
12/1/2022 19:00,951
12/2/2022 19:00,939
12/3/2022 19:00,929
12/4/2022 19:00,954
12/5/2022 19:00,964
12/6/2022 19:00,998
12/7/2022 19:00,979
12/8/2022 19:00,970
12/9/2022 19:00,956
12/10/2022 19:00,945
12/11/2022 19:00,957
12/12/2022 19:00,967
12/13/2022 19:00,974
12/14/2022 19:00,944
12/15/2022 19:00,908
12/16/2022 19:00,895
12/17/2022 19:00,881
12/18/2022 19:00,763
12/19/2022 19:00,672
12/20/2022 19:00,660
12/21/2022 19:00,664
12/22/2022 19:00,658
12/23/2022 19:00,653
12/24/2022 19:00,650
12/25/2022 19:00,655
12/26/2022 19:00,652
12/27/2022 19:00,647
12/28/2022 19:00,651
12/29/2022 19:00,649
12/30/2022 19:00,638
12/31/2022 19:00,640
1/1/2023 19:00,642
1/2/2023 19:00,658
1/3/2023 19:00,660
1/4/2023 19:00,650
1/5/2023 19:00,652
1/6/2023 19:00,644
1/7/2023 19:00,639
1/8/2023 19:00,652
1/9/2023 19:00,664
1/10/2023 19:00,659
1/11/2023 19:00,642
1/12/2023 19:00,620
1/13/2023 19:00,615
1/14/2023 19:00,618
1/15/2023 19:00,630
1/16/2023 19:00,682
1/17/2023 19:00,746
1/18/2023 19:00,752
1/19/2023 19:00,737
1/20/2023 19:00,733
1/21/2023 19:00,723
1/22/2023 19:00,728
1/23/2023 19:00,729
1/24/2023 19:00,737
1/25/2023 19:00,738
1/26/2023 19:00,748
1/27/2023 19:00,737
1/28/2023 19:00,736
1/29/2023 19:00,751
1/30/2023 19:00,747
1/31/2023 19:00,785
2/1/2023 19:00,868
2/2/2023 19:00,879
2/3/2023 19:00,879
2/4/2023 19:00,804
2/5/2023 19:00,794
2/6/2023 19:00,819
2/7/2023 19:00,889
2/8/2023 19:00,938
2/9/2023 19:00,948
2/10/2023 19:00,927
2/11/2023 19:00,923
2/12/2023 19:00,945
2/13/2023 19:00,949
2/14/2023 19:00,976
2/15/2023 19:00,989
2/16/2023 19:00,999
2/17/2023 19:00,927
2/18/2023 19:00,920
2/19/2023 19:00,930
2/20/2023 19:00,946
2/21/2023 19:00,951
2/22/2023 19:00,939
2/23/2023 19:00,939
2/24/2023 19:00,927
2/25/2023 19:00,911
2/26/2023 19:00,933
2/27/2023 19:00,937
2/28/2023 19:00,944
3/1/2023 19:00,937
3/2/2023 19:00,933
3/3/2023 19:00,917
3/4/2023 19:00,920
3/5/2023 19:00,932
3/6/2023 19:00,935
3/7/2023 19:00,938
3/8/2023 19:00,937
3/9/2023 19:00,942
3/10/2023 19:00,920
3/11/2023 19:00,924
3/12/2023 20:00,925
3/13/2023 20:00,925
3/14/2023 20:00,938
3/15/2023 20:00,934
3/16/2023 20:00,953
3/17/2023 20:00,937
3/18/2023 20:00,918
3/19/2023 20:00,938
3/20/2023 20:00,942
3/21/2023 20:00,943
3/22/2023 20:00,939
3/23/2023 20:00,937
3/24/2023 20:00,925
3/25/2023 20:00,914
3/26/2023 20:00,941
3/27/2023 20:00,950
3/28/2023 20:00,952
3/29/2023 20:00,948
3/30/2023 20:00,947
3/31/2023 20:00,938
4/1/2023 20:00,928
4/2/2023 20:00,938
4/3/2023 20:00,961
4/4/2023 20:00,961
4/5/2023 20:00,963
4/6/2023 20:00,941
4/7/2023 20:00,933
4/8/2023 20:00,922
4/9/2023 20:00,940
4/10/2023 20:00,946
4/11/2023 20:00,955
4/12/2023 20:00,970
4/13/2023 20:00,954
4/14/2023 20:00,946
4/15/2023 20:00,941
4/16/2023 20:00,946
4/17/2023 20:00,936
4/18/2023 20:00,947
4/19/2023 20:00,938
4/20/2023 20:00,941
4/21/2023 20:00,942
4/22/2023 20:00,940
4/23/2023 20:00,947
4/24/2023 20:00,958
4/25/2023 20:00,969
4/26/2023 20:00,955
4/27/2023 20:00,958
4/28/2023 20:00,949
4/29/2023 20:00,950
4/30/2023 20:00,956
5/1/2023 20:00,954
5/2/2023 20:00,969
5/3/2023 20:00,971
5/4/2023 20:00,954
5/5/2023 20:00,939
5/6/2023 20:00,928
5/7/2023 20:00,956
5/8/2023 20:00,943
5/9/2023 20:00,943
5/10/2023 20:00,957
5/11/2023 20:00,972
5/12/2023 20:00,942
5/13/2023 20:00,922
5/14/2023 20:00,932
5/15/2023 20:00,931
5/16/2023 20:00,945
5/17/2023 20:00,948
5/18/2023 20:00,950
5/19/2023 20:00,933
5/20/2023 20:00,918
5/21/2023 20:00,930
5/22/2023 20:00,944
5/23/2023 20:00,948
5/24/2023 20:00,930
5/25/2023 20:00,919
5/26/2023 20:00,903
5/27/2023 20:00,919
5/28/2023 20:00,937
5/29/2023 20:00,902
5/30/2023 20:00,893
5/31/2023 20:00,898
6/1/2023 20:00,920
6/2/2023 20:00,921
6/3/2023 20:00,908
6/4/2023 20:00,930
6/5/2023 20:00,936
6/6/2023 20:00,936
6/7/2023 20:00,935
6/8/2023 20:00,936
6/9/2023 20:00,919
6/10/2023 20:00,923
6/11/2023 20:00,942
6/12/2023 20:00,943
6/13/2023 20:00,947
6/14/2023 20:00,953
6/15/2023 20:00,951
6/16/2023 20:00,924
6/17/2023 20:00,924
6/18/2023 20:00,933
6/19/2023 20:00,943
6/20/2023 20:00,935
6/21/2023 20:00,947
6/22/2023 20:00,949
6/23/2023 20:00,942
6/24/2023 20:00,935
6/25/2023 20:00,961
6/26/2023 20:00,962
6/27/2023 20:00,950
6/28/2023 20:00,970
6/29/2023 20:00,968
6/30/2023 20:00,946
7/1/2023 20:00,943
7/2/2023 20:00,950
7/3/2023 20:00,957
7/4/2023 20:00,965
7/5/2023 20:00,976
7/6/2023 20:00,965
7/7/2023 20:00,946
7/8/2023 20:00,947
7/9/2023 20:00,969
7/10/2023 20:00,975
7/11/2023 20:00,982
7/12/2023 20:00,989
7/13/2023 20:00,981
7/14/2023 20:00,963
7/15/2023 20:00,956
7/16/2023 20:00,981
7/17/2023 20:00,984
7/18/2023 20:00,978
7/19/2023 20:00,970
7/20/2023 20:00,960
7/21/2023 20:00,945
7/22/2023 20:00,942
7/23/2023 20:00,965
7/24/2023 20:00,973
7/25/2023 20:00,973
7/26/2023 20:00,976
7/27/2023 20:00,993
7/28/2023 20:00,968
7/29/2023 20:00,951
7/30/2023 20:00,965
7/31/2023 20:00,972
8/1/2023 20:00,973
8/2/2023 20:00,982
8/3/2023 20:00,982
8/4/2023 20:00,961
8/5/2023 20:00,958
8/6/2023 20:00,985
8/7/2023 20:00,987
8/8/2023 20:00,985
8/9/2023 20:00,984
8/10/2023 20:00,974
8/11/2023 20:00,964
8/12/2023 20:00,957
8/13/2023 20:00,975
8/14/2023 20:00,972
8/15/2023 20:00,980
8/16/2023 20:00,987
8/17/2023 20:00,971
8/18/2023 20:00,957
8/19/2023 20:00,955
8/20/2023 20:00,978
8/21/2023 20:00,980
8/22/2023 20:00,981
8/23/2023 20:00,970
8/24/2023 20:00,987
8/25/2023 20:00,975
8/26/2023 20:00,949
8/27/2023 20:00,968
8/28/2023 20:00,985
8/29/2023 20:00,984
8/30/2023 20:00,979
8/31/2023 20:00,975
9/1/2023 20:00,966
9/2/2023 20:00,973
9/3/2023 20:00,981
9/4/2023 20:00,1003
9/5/2023 20:00,1008
9/6/2023 20:00,1010
9/7/2023 20:00,1005
9/8/2023 20:00,979
9/9/2023 20:00,980
9/10/2023 20:00,993
9/11/2023 20:00,992
9/12/2023 20:00,983
9/13/2023 20:00,955
9/14/2023 20:00,943
9/15/2023 20:00,921
9/16/2023 20:00,911
9/17/2023 20:00,934
9/18/2023 20:00,948
9/19/2023 20:00,955
9/20/2023 20:00,951
9/21/2023 20:00,949
9/22/2023 20:00,936
9/23/2023 20:00,934
9/24/2023 20:00,952
9/25/2023 20:00,951
9/26/2023 20:00,952
9/27/2023 20:00,947
9/28/2023 20:00,949
9/29/2023 20:00,937
9/30/2023 20:00,935
10/1/2023 20:00,953
10/2/2023 20:00,956
10/3/2023 20:00,965
10/4/2023 20:00,964
10/5/2023 20:00,960
10/6/2023 20:00,942
10/7/2023 20:00,927
10/8/2023 20:00,928
10/9/2023 20:00,925
10/10/2023 20:00,929
10/11/2023 20:00,952
10/12/2023 20:00,927
10/13/2023 20:00,918
10/14/2023 20:00,926
10/15/2023 20:00,946
10/16/2023 20:00,960
10/17/2023 20:00,950
10/18/2023 20:00,948
10/19/2023 20:00,950
10/20/2023 20:00,920
10/21/2023 20:00,902
10/22/2023 20:00,915
10/23/2023 20:00,919
10/24/2023 20:00,923
10/25/2023 20:00,935
10/26/2023 20:00,941
10/27/2023 20:00,921
10/28/2023 20:00,915
10/29/2023 20:00,941
10/30/2023 20:00,924
10/31/2023 20:00,934
11/1/2023 20:00,931
11/2/2023 20:00,931
11/3/2023 20:00,909
11/4/2023 20:00,923
11/5/2023 19:00,933
11/6/2023 19:00,946
