Time,Data
11/7/2022 19:00,125
11/8/2022 19:00,120
11/9/2022 19:00,119
11/10/2022 19:00,119
11/11/2022 19:00,109
11/12/2022 19:00,106
11/13/2022 19:00,120
11/14/2022 19:00,123
11/15/2022 19:00,118
11/16/2022 19:00,118
11/17/2022 19:00,116
11/18/2022 19:00,108
11/19/2022 19:00,107
11/20/2022 19:00,115
11/21/2022 19:00,110
11/22/2022 19:00,97.1
11/23/2022 19:00,93.4
11/24/2022 19:00,91.5
11/25/2022 19:00,91.8
11/26/2022 19:00,92.1
11/27/2022 19:00,110
11/28/2022 19:00,113
11/29/2022 19:00,111
11/30/2022 19:00,114
12/1/2022 19:00,111
12/2/2022 19:00,102
12/3/2022 19:00,109
12/4/2022 19:00,115
12/5/2022 19:00,115
12/6/2022 19:00,112
12/7/2022 19:00,114
12/8/2022 19:00,114
12/9/2022 19:00,101
12/10/2022 19:00,100
12/11/2022 19:00,109
12/12/2022 19:00,115
12/13/2022 19:00,109
12/14/2022 19:00,107
12/15/2022 19:00,97.4
12/16/2022 19:00,93.4
12/17/2022 19:00,94.5
12/18/2022 19:00,97.8
12/19/2022 19:00,98.8
12/20/2022 19:00,103
12/21/2022 19:00,98
12/22/2022 19:00,95.1
12/23/2022 19:00,91.6
12/24/2022 19:00,88.6
12/25/2022 19:00,88.7
12/26/2022 19:00,86.4
12/27/2022 19:00,87
12/28/2022 19:00,86.1
12/29/2022 19:00,82.2
12/30/2022 19:00,80.8
12/31/2022 19:00,78
1/1/2023 19:00,79.1
1/2/2023 19:00,88.7
1/3/2023 19:00,92.3
1/4/2023 19:00,92.9
1/5/2023 19:00,97
1/6/2023 19:00,97.1
1/7/2023 19:00,92.1
1/8/2023 19:00,96.6
1/9/2023 19:00,100
1/10/2023 19:00,102
1/11/2023 19:00,100
1/12/2023 19:00,91.5
1/13/2023 19:00,92.2
1/14/2023 19:00,90.5
1/15/2023 19:00,94.4
1/16/2023 19:00,101
1/17/2023 19:00,99.9
1/18/2023 19:00,97
1/19/2023 19:00,101
1/20/2023 19:00,89.9
1/21/2023 19:00,87.5
1/22/2023 19:00,105
1/23/2023 19:00,110
1/24/2023 19:00,110
1/25/2023 19:00,109
1/26/2023 19:00,103
1/27/2023 19:00,91.1
1/28/2023 19:00,88
1/29/2023 19:00,100
1/30/2023 19:00,105
1/31/2023 19:00,103
2/1/2023 19:00,102
2/2/2023 19:00,103
2/3/2023 19:00,93.8
2/4/2023 19:00,85.8
2/5/2023 19:00,96.9
2/6/2023 19:00,98.6
2/7/2023 19:00,108
2/8/2023 19:00,105
2/9/2023 19:00,107
2/10/2023 19:00,99
2/11/2023 19:00,98.6
2/12/2023 19:00,105
2/13/2023 19:00,108
2/14/2023 19:00,106
2/15/2023 19:00,108
2/16/2023 19:00,111
2/17/2023 19:00,107
2/18/2023 19:00,105
2/19/2023 19:00,110
2/20/2023 19:00,113
2/21/2023 19:00,113
2/22/2023 19:00,112
2/23/2023 19:00,108
2/24/2023 19:00,97.3
2/25/2023 19:00,96.6
2/26/2023 19:00,100
2/27/2023 19:00,108
2/28/2023 19:00,116
3/1/2023 19:00,119
3/2/2023 19:00,112
3/3/2023 19:00,110
3/4/2023 19:00,104
3/5/2023 19:00,114
3/6/2023 19:00,119
3/7/2023 19:00,120
3/8/2023 19:00,117
3/9/2023 19:00,115
3/10/2023 19:00,103
3/11/2023 19:00,102
3/12/2023 20:00,111
3/13/2023 20:00,104
3/14/2023 20:00,110
3/15/2023 20:00,111
3/16/2023 20:00,110
3/17/2023 20:00,101
3/18/2023 20:00,104
3/19/2023 20:00,113
3/20/2023 20:00,115
3/21/2023 20:00,109
3/22/2023 20:00,113
3/23/2023 20:00,109
3/24/2023 20:00,101
3/25/2023 20:00,99.9
3/26/2023 20:00,109
3/27/2023 20:00,114
3/28/2023 20:00,114
3/29/2023 20:00,113
3/30/2023 20:00,108
3/31/2023 20:00,97.3
4/1/2023 20:00,96.3
4/2/2023 20:00,103
4/3/2023 20:00,104
4/4/2023 20:00,106
4/5/2023 20:00,104
4/6/2023 20:00,103
4/7/2023 20:00,98.7
4/8/2023 20:00,100
4/9/2023 20:00,117
4/10/2023 20:00,125
4/11/2023 20:00,123
4/12/2023 20:00,136
4/13/2023 20:00,142
4/14/2023 20:00,125
4/15/2023 20:00,120
4/16/2023 20:00,122
4/17/2023 20:00,118
4/18/2023 20:00,117
4/19/2023 20:00,119
4/20/2023 20:00,129
4/21/2023 20:00,117
4/22/2023 20:00,112
4/23/2023 20:00,118
4/24/2023 20:00,116
4/25/2023 20:00,119
4/26/2023 20:00,116
4/27/2023 20:00,113
4/28/2023 20:00,101
4/29/2023 20:00,101
4/30/2023 20:00,114
5/1/2023 20:00,118
5/2/2023 20:00,114
5/3/2023 20:00,116
5/4/2023 20:00,115
5/5/2023 20:00,106
5/6/2023 20:00,109
5/7/2023 20:00,118
5/8/2023 20:00,118
5/9/2023 20:00,106
5/10/2023 20:00,114
5/11/2023 20:00,119
5/12/2023 20:00,112
5/13/2023 20:00,105
5/14/2023 20:00,113
5/15/2023 20:00,119
5/16/2023 20:00,111
5/17/2023 20:00,112
5/18/2023 20:00,114
5/19/2023 20:00,102
5/20/2023 20:00,101
5/21/2023 20:00,118
5/22/2023 20:00,113
5/23/2023 20:00,111
5/24/2023 20:00,110
5/25/2023 20:00,110
5/26/2023 20:00,105
5/27/2023 20:00,107
5/28/2023 20:00,113
5/29/2023 20:00,121
5/30/2023 20:00,125
5/31/2023 20:00,127
6/1/2023 20:00,128
6/2/2023 20:00,119
6/3/2023 20:00,114
6/4/2023 20:00,115
6/5/2023 20:00,106
6/6/2023 20:00,109
6/7/2023 20:00,109
6/8/2023 20:00,110
6/9/2023 20:00,108
6/10/2023 20:00,109
6/11/2023 20:00,119
6/12/2023 20:00,118
6/13/2023 20:00,115
6/14/2023 20:00,116
6/15/2023 20:00,107
6/16/2023 20:00,99.2
6/17/2023 20:00,98.2
6/18/2023 20:00,107
6/19/2023 20:00,122
6/20/2023 20:00,124
6/21/2023 20:00,124
6/22/2023 20:00,132
6/23/2023 20:00,123
6/24/2023 20:00,128
6/25/2023 20:00,130
6/26/2023 20:00,119
6/27/2023 20:00,114
6/28/2023 20:00,113
6/29/2023 20:00,114
6/30/2023 20:00,107
7/1/2023 20:00,108
7/2/2023 20:00,118
7/3/2023 20:00,115
7/4/2023 20:00,130
7/5/2023 20:00,150
7/6/2023 20:00,147
7/7/2023 20:00,128
7/8/2023 20:00,123
7/9/2023 20:00,131
7/10/2023 20:00,136
7/11/2023 20:00,141
7/12/2023 20:00,139
7/13/2023 20:00,134
7/14/2023 20:00,124
7/15/2023 20:00,124
7/16/2023 20:00,138
7/17/2023 20:00,139
7/18/2023 20:00,137
7/19/2023 20:00,139
7/20/2023 20:00,136
7/21/2023 20:00,121
7/22/2023 20:00,116
7/23/2023 20:00,132
7/24/2023 20:00,134
7/25/2023 20:00,139
7/26/2023 20:00,140
7/27/2023 20:00,141
7/28/2023 20:00,125
7/29/2023 20:00,112
7/30/2023 20:00,123
7/31/2023 20:00,125
8/1/2023 20:00,128
8/2/2023 20:00,129
8/3/2023 20:00,128
8/4/2023 20:00,115
8/5/2023 20:00,118
8/6/2023 20:00,136
8/7/2023 20:00,121
8/8/2023 20:00,123
8/9/2023 20:00,119
8/10/2023 20:00,113
8/11/2023 20:00,105
8/12/2023 20:00,108
8/13/2023 20:00,117
8/14/2023 20:00,125
8/15/2023 20:00,130
8/16/2023 20:00,129
8/17/2023 20:00,122
8/18/2023 20:00,115
8/19/2023 20:00,116
8/20/2023 20:00,144
8/21/2023 20:00,137
8/22/2023 20:00,141
8/23/2023 20:00,126
8/24/2023 20:00,134
8/25/2023 20:00,129
8/26/2023 20:00,115
8/27/2023 20:00,131
8/28/2023 20:00,141
8/29/2023 20:00,134
8/30/2023 20:00,132
8/31/2023 20:00,132
9/1/2023 20:00,120
9/2/2023 20:00,124
9/3/2023 20:00,134
9/4/2023 20:00,161
9/5/2023 20:00,171
9/6/2023 20:00,170
9/7/2023 20:00,157
9/8/2023 20:00,130
