Time,Data
11/7/2022 19:00,347
11/8/2022 19:00,364
11/9/2022 19:00,359
11/10/2022 19:00,317
11/11/2022 19:00,289
11/12/2022 19:00,313
11/13/2022 19:00,350
11/14/2022 19:00,355
11/15/2022 19:00,356
11/16/2022 19:00,352
11/17/2022 19:00,361
11/18/2022 19:00,341
11/19/2022 19:00,336
11/20/2022 19:00,365
11/21/2022 19:00,361
11/22/2022 19:00,350
11/23/2022 19:00,331
11/24/2022 19:00,329
11/25/2022 19:00,318
11/26/2022 19:00,321
11/27/2022 19:00,344
11/28/2022 19:00,349
11/29/2022 19:00,353
11/30/2022 19:00,359
12/1/2022 19:00,362
12/2/2022 19:00,321
12/3/2022 19:00,324
12/4/2022 19:00,352
12/5/2022 19:00,351
12/6/2022 19:00,340
12/7/2022 19:00,348
12/8/2022 19:00,345
12/9/2022 19:00,322
12/10/2022 19:00,327
12/11/2022 19:00,353
12/12/2022 19:00,368
12/13/2022 19:00,358
12/14/2022 19:00,360
12/15/2022 19:00,349
12/16/2022 19:00,322
12/17/2022 19:00,321
12/18/2022 19:00,348
12/19/2022 19:00,354
12/20/2022 19:00,355
12/21/2022 19:00,342
12/22/2022 19:00,317
12/23/2022 19:00,304
12/24/2022 19:00,303
12/25/2022 19:00,308
12/26/2022 19:00,323
12/27/2022 19:00,318
12/28/2022 19:00,308
12/29/2022 19:00,295
12/30/2022 19:00,283
12/31/2022 19:00,286
1/1/2023 19:00,293
1/2/2023 19:00,332
1/3/2023 19:00,329
1/4/2023 19:00,324
1/5/2023 19:00,334
1/6/2023 19:00,306
1/7/2023 19:00,310
1/8/2023 19:00,339
1/9/2023 19:00,345
1/10/2023 19:00,344
1/11/2023 19:00,346
1/12/2023 19:00,336
1/13/2023 19:00,321
1/14/2023 19:00,324
1/15/2023 19:00,343
1/16/2023 19:00,359
1/17/2023 19:00,367
1/18/2023 19:00,360
1/19/2023 19:00,358
1/20/2023 19:00,328
1/21/2023 19:00,330
1/22/2023 19:00,361
1/23/2023 19:00,364
1/24/2023 19:00,373
1/25/2023 19:00,365
1/26/2023 19:00,368
1/27/2023 19:00,331
1/28/2023 19:00,330
1/29/2023 19:00,366
1/30/2023 19:00,381
1/31/2023 19:00,381
2/1/2023 19:00,377
2/2/2023 19:00,390
2/3/2023 19:00,359
2/4/2023 19:00,320
2/5/2023 19:00,345
2/6/2023 19:00,364
2/7/2023 19:00,364
2/8/2023 19:00,364
2/9/2023 19:00,343
2/10/2023 19:00,329
2/11/2023 19:00,327
2/12/2023 19:00,355
2/13/2023 19:00,365
2/14/2023 19:00,353
2/15/2023 19:00,353
2/16/2023 19:00,353
2/17/2023 19:00,334
2/18/2023 19:00,328
2/19/2023 19:00,355
2/20/2023 19:00,363
2/21/2023 19:00,369
2/22/2023 19:00,364
2/23/2023 19:00,365
2/24/2023 19:00,332
2/25/2023 19:00,324
2/26/2023 19:00,354
2/27/2023 19:00,352
2/28/2023 19:00,369
3/1/2023 19:00,357
3/2/2023 19:00,365
3/3/2023 19:00,338
3/4/2023 19:00,330
3/5/2023 19:00,367
3/6/2023 19:00,375
3/7/2023 19:00,377
3/8/2023 19:00,374
3/9/2023 19:00,372
3/10/2023 19:00,338
3/11/2023 19:00,336
3/12/2023 20:00,369
3/13/2023 20:00,357
3/14/2023 20:00,378
3/15/2023 20:00,380
3/16/2023 20:00,378
3/17/2023 20:00,326
3/18/2023 20:00,334
3/19/2023 20:00,367
3/20/2023 20:00,368
3/21/2023 20:00,356
3/22/2023 20:00,353
3/23/2023 20:00,356
3/24/2023 20:00,327
3/25/2023 20:00,321
3/26/2023 20:00,359
3/27/2023 20:00,366
3/28/2023 20:00,354
3/29/2023 20:00,359
3/30/2023 20:00,348
3/31/2023 20:00,309
4/1/2023 20:00,317
4/2/2023 20:00,340
4/3/2023 20:00,337
4/4/2023 20:00,337
4/5/2023 20:00,322
4/6/2023 20:00,349
4/7/2023 20:00,323
4/8/2023 20:00,317
4/9/2023 20:00,351
4/10/2023 20:00,347
4/11/2023 20:00,342
4/12/2023 20:00,345
4/13/2023 20:00,341
4/14/2023 20:00,303
4/15/2023 20:00,300
4/16/2023 20:00,355
4/17/2023 20:00,366
4/18/2023 20:00,368
4/19/2023 20:00,368
4/20/2023 20:00,347
4/21/2023 20:00,301
4/22/2023 20:00,313
4/23/2023 20:00,351
4/24/2023 20:00,357
4/25/2023 20:00,360
4/26/2023 20:00,360
4/27/2023 20:00,349
4/28/2023 20:00,321
4/29/2023 20:00,308
4/30/2023 20:00,352
5/1/2023 20:00,356
5/2/2023 20:00,362
5/3/2023 20:00,363
5/4/2023 20:00,351
5/5/2023 20:00,311
5/6/2023 20:00,309
5/7/2023 20:00,340
5/8/2023 20:00,346
5/9/2023 20:00,322
5/10/2023 20:00,333
5/11/2023 20:00,311
5/12/2023 20:00,288
5/13/2023 20:00,304
5/14/2023 20:00,330
5/15/2023 20:00,335
5/16/2023 20:00,341
5/17/2023 20:00,346
5/18/2023 20:00,323
5/19/2023 20:00,289
5/20/2023 20:00,293
5/21/2023 20:00,318
5/22/2023 20:00,324
5/23/2023 20:00,306
5/24/2023 20:00,330
5/25/2023 20:00,327
5/26/2023 20:00,288
5/27/2023 20:00,276
5/28/2023 20:00,287
5/29/2023 20:00,303
5/30/2023 20:00,305
5/31/2023 20:00,313
6/1/2023 20:00,317
6/2/2023 20:00,282
6/3/2023 20:00,287
6/4/2023 20:00,323
6/5/2023 20:00,328
6/6/2023 20:00,329
6/7/2023 20:00,336
6/8/2023 20:00,326
6/9/2023 20:00,281
6/10/2023 20:00,272
6/11/2023 20:00,304
6/12/2023 20:00,310
6/13/2023 20:00,314
6/14/2023 20:00,320
6/15/2023 20:00,305
6/16/2023 20:00,276
6/17/2023 20:00,270
6/18/2023 20:00,296
6/19/2023 20:00,313
6/20/2023 20:00,318
6/21/2023 20:00,320
6/22/2023 20:00,321
6/23/2023 20:00,281
6/24/2023 20:00,277
6/25/2023 20:00,311
6/26/2023 20:00,313
6/27/2023 20:00,298
6/28/2023 20:00,291
6/29/2023 20:00,309
6/30/2023 20:00,282
7/1/2023 20:00,281
7/2/2023 20:00,312
7/3/2023 20:00,310
7/4/2023 20:00,322
7/5/2023 20:00,322
7/6/2023 20:00,331
7/7/2023 20:00,292
7/8/2023 20:00,297
7/9/2023 20:00,322
7/10/2023 20:00,316
7/11/2023 20:00,328
7/12/2023 20:00,320
7/13/2023 20:00,306
7/14/2023 20:00,281
7/15/2023 20:00,280
7/16/2023 20:00,322
7/17/2023 20:00,330
7/18/2023 20:00,346
7/19/2023 20:00,339
7/20/2023 20:00,336
7/21/2023 20:00,303
7/22/2023 20:00,301
7/23/2023 20:00,334
7/24/2023 20:00,339
7/25/2023 20:00,333
7/26/2023 20:00,338
7/27/2023 20:00,338
7/28/2023 20:00,300
7/29/2023 20:00,288
7/30/2023 20:00,326
7/31/2023 20:00,336
8/1/2023 20:00,332
8/2/2023 20:00,328
8/3/2023 20:00,330
8/4/2023 20:00,292
8/5/2023 20:00,289
8/6/2023 20:00,337
8/7/2023 20:00,327
8/8/2023 20:00,327
8/9/2023 20:00,327
8/10/2023 20:00,319
8/11/2023 20:00,294
8/12/2023 20:00,293
8/13/2023 20:00,329
8/14/2023 20:00,341
8/15/2023 20:00,356
8/16/2023 20:00,327
8/17/2023 20:00,326
8/18/2023 20:00,286
8/19/2023 20:00,288
8/20/2023 20:00,332
8/21/2023 20:00,334
8/22/2023 20:00,334
8/23/2023 20:00,334
8/24/2023 20:00,337
8/25/2023 20:00,302
8/26/2023 20:00,296
8/27/2023 20:00,335
8/28/2023 20:00,346
8/29/2023 20:00,334
8/30/2023 20:00,327
8/31/2023 20:00,325
9/1/2023 20:00,291
9/2/2023 20:00,291
9/3/2023 20:00,314
9/4/2023 20:00,337
9/5/2023 20:00,349
9/6/2023 20:00,341
9/7/2023 20:00,333
9/8/2023 20:00,292
9/9/2023 20:00,288
9/10/2023 20:00,336
9/11/2023 20:00,339
9/12/2023 20:00,334
9/13/2023 20:00,333
9/14/2023 20:00,339
9/15/2023 20:00,296
9/16/2023 20:00,293
9/17/2023 20:00,322
9/18/2023 20:00,326
9/19/2023 20:00,331
9/20/2023 20:00,343
9/21/2023 20:00,341
9/22/2023 20:00,309
9/23/2023 20:00,324
9/24/2023 20:00,354
9/25/2023 20:00,338
9/26/2023 20:00,335
9/27/2023 20:00,336
9/28/2023 20:00,328
9/29/2023 20:00,287
9/30/2023 20:00,291
10/1/2023 20:00,328
10/2/2023 20:00,336
10/3/2023 20:00,337
10/4/2023 20:00,341
10/5/2023 20:00,331
10/6/2023 20:00,285
10/7/2023 20:00,299
10/8/2023 20:00,328
10/9/2023 20:00,347
10/10/2023 20:00,347
10/11/2023 20:00,354
10/12/2023 20:00,342
10/13/2023 20:00,352
10/14/2023 20:00,354
10/15/2023 20:00,374
10/16/2023 20:00,381
10/17/2023 20:00,381
10/18/2023 20:00,378
10/19/2023 20:00,370
10/20/2023 20:00,338
10/21/2023 20:00,346
10/22/2023 20:00,382
10/23/2023 20:00,389
10/24/2023 20:00,369
10/25/2023 20:00,373
10/26/2023 20:00,359
10/27/2023 20:00,329
10/28/2023 20:00,342
10/29/2023 20:00,377
10/30/2023 20:00,393
10/31/2023 20:00,391
11/1/2023 20:00,370
11/2/2023 20:00,380
11/3/2023 20:00,349
11/4/2023 20:00,349
11/5/2023 19:00,384
11/6/2023 19:00,342
