Time,Data
11/7/2022 19:00,290
11/8/2022 19:00,275
11/9/2022 19:00,263
11/10/2022 19:00,271
11/11/2022 19:00,279
11/12/2022 19:00,305
11/13/2022 19:00,321
11/14/2022 19:00,333
11/15/2022 19:00,323
11/16/2022 19:00,320
11/17/2022 19:00,319
11/18/2022 19:00,296
11/19/2022 19:00,286
11/20/2022 19:00,297
11/21/2022 19:00,276
11/22/2022 19:00,264
11/23/2022 19:00,249
11/24/2022 19:00,245
11/25/2022 19:00,232
11/26/2022 19:00,235
11/27/2022 19:00,261
11/28/2022 19:00,276
11/29/2022 19:00,275
11/30/2022 19:00,274
12/1/2022 19:00,273
12/2/2022 19:00,256
12/3/2022 19:00,249
12/4/2022 19:00,271
12/5/2022 19:00,272
12/6/2022 19:00,268
12/7/2022 19:00,265
12/8/2022 19:00,269
12/9/2022 19:00,246
12/10/2022 19:00,237
12/11/2022 19:00,261
12/12/2022 19:00,264
12/13/2022 19:00,260
12/14/2022 19:00,262
12/15/2022 19:00,255
12/16/2022 19:00,242
12/17/2022 19:00,230
12/18/2022 19:00,251
12/19/2022 19:00,244
12/20/2022 19:00,243
12/21/2022 19:00,245
12/22/2022 19:00,230
12/23/2022 19:00,215
12/24/2022 19:00,217
12/25/2022 19:00,214
12/26/2022 19:00,215
12/27/2022 19:00,219
12/28/2022 19:00,215
12/29/2022 19:00,216
12/30/2022 19:00,208
12/31/2022 19:00,209
1/1/2023 19:00,212
1/2/2023 19:00,233
1/3/2023 19:00,233
1/4/2023 19:00,229
1/5/2023 19:00,238
1/6/2023 19:00,230
1/7/2023 19:00,221
1/8/2023 19:00,244
1/9/2023 19:00,240
1/10/2023 19:00,240
1/11/2023 19:00,245
1/12/2023 19:00,241
1/13/2023 19:00,226
1/14/2023 19:00,222
1/15/2023 19:00,236
1/16/2023 19:00,245
1/17/2023 19:00,249
1/18/2023 19:00,252
1/19/2023 19:00,250
1/20/2023 19:00,236
1/21/2023 19:00,232
1/22/2023 19:00,257
1/23/2023 19:00,249
1/24/2023 19:00,246
1/25/2023 19:00,252
1/26/2023 19:00,244
1/27/2023 19:00,230
1/28/2023 19:00,221
1/29/2023 19:00,243
1/30/2023 19:00,244
1/31/2023 19:00,266
2/1/2023 19:00,255
2/2/2023 19:00,254
2/3/2023 19:00,222
2/4/2023 19:00,210
2/5/2023 19:00,231
2/6/2023 19:00,244
2/7/2023 19:00,241
2/8/2023 19:00,243
2/9/2023 19:00,243
2/10/2023 19:00,220
2/11/2023 19:00,214
2/12/2023 19:00,234
2/13/2023 19:00,246
2/14/2023 19:00,254
2/15/2023 19:00,260
2/16/2023 19:00,258
2/17/2023 19:00,226
2/18/2023 19:00,220
2/19/2023 19:00,248
2/20/2023 19:00,255
2/21/2023 19:00,263
2/22/2023 19:00,256
2/23/2023 19:00,246
2/24/2023 19:00,229
2/25/2023 19:00,227
2/26/2023 19:00,242
2/27/2023 19:00,242
2/28/2023 19:00,246
3/1/2023 19:00,245
3/2/2023 19:00,246
3/3/2023 19:00,227
3/4/2023 19:00,215
3/5/2023 19:00,243
3/6/2023 19:00,251
3/7/2023 19:00,248
3/8/2023 19:00,244
3/9/2023 19:00,253
3/10/2023 19:00,234
3/11/2023 19:00,224
3/12/2023 20:00,255
3/13/2023 20:00,238
3/14/2023 20:00,245
3/15/2023 20:00,254
3/16/2023 20:00,248
3/17/2023 20:00,230
3/18/2023 20:00,217
3/19/2023 20:00,246
3/20/2023 20:00,253
3/21/2023 20:00,254
3/22/2023 20:00,245
3/23/2023 20:00,249
3/24/2023 20:00,228
3/25/2023 20:00,224
3/26/2023 20:00,251
3/27/2023 20:00,259
3/28/2023 20:00,261
3/29/2023 20:00,258
3/30/2023 20:00,255
3/31/2023 20:00,231
4/1/2023 20:00,226
4/2/2023 20:00,247
4/3/2023 20:00,253
4/4/2023 20:00,269
4/5/2023 20:00,245
4/6/2023 20:00,244
4/7/2023 20:00,234
4/8/2023 20:00,227
4/9/2023 20:00,244
4/10/2023 20:00,264
4/11/2023 20:00,274
4/12/2023 20:00,273
4/13/2023 20:00,256
4/14/2023 20:00,234
4/15/2023 20:00,234
4/16/2023 20:00,252
4/17/2023 20:00,256
4/18/2023 20:00,249
4/19/2023 20:00,249
4/20/2023 20:00,248
4/21/2023 20:00,223
4/22/2023 20:00,221
4/23/2023 20:00,244
4/24/2023 20:00,256
4/25/2023 20:00,272
4/26/2023 20:00,263
4/27/2023 20:00,260
4/28/2023 20:00,242
4/29/2023 20:00,238
4/30/2023 20:00,266
5/1/2023 20:00,270
5/2/2023 20:00,260
5/3/2023 20:00,263
5/4/2023 20:00,262
5/5/2023 20:00,239
5/6/2023 20:00,235
5/7/2023 20:00,256
5/8/2023 20:00,267
5/9/2023 20:00,251
5/10/2023 20:00,253
5/11/2023 20:00,251
5/12/2023 20:00,240
5/13/2023 20:00,233
5/14/2023 20:00,253
5/15/2023 20:00,251
5/16/2023 20:00,256
5/17/2023 20:00,247
5/18/2023 20:00,238
5/19/2023 20:00,223
5/20/2023 20:00,221
5/21/2023 20:00,237
5/22/2023 20:00,242
5/23/2023 20:00,240
5/24/2023 20:00,242
5/25/2023 20:00,235
5/26/2023 20:00,217
5/27/2023 20:00,215
5/28/2023 20:00,228
5/29/2023 20:00,243
5/30/2023 20:00,252
5/31/2023 20:00,246
6/1/2023 20:00,250
6/2/2023 20:00,226
6/3/2023 20:00,216
6/4/2023 20:00,238
6/5/2023 20:00,238
6/6/2023 20:00,249
6/7/2023 20:00,244
6/8/2023 20:00,244
6/9/2023 20:00,229
6/10/2023 20:00,222
6/11/2023 20:00,250
6/12/2023 20:00,248
6/13/2023 20:00,249
6/14/2023 20:00,245
6/15/2023 20:00,250
6/16/2023 20:00,226
6/17/2023 20:00,221
6/18/2023 20:00,237
6/19/2023 20:00,250
6/20/2023 20:00,258
6/21/2023 20:00,245
6/22/2023 20:00,259
6/23/2023 20:00,237
6/24/2023 20:00,235
6/25/2023 20:00,263
6/26/2023 20:00,262
6/27/2023 20:00,260
6/28/2023 20:00,252
6/29/2023 20:00,255
6/30/2023 20:00,242
7/1/2023 20:00,236
7/2/2023 20:00,251
7/3/2023 20:00,244
7/4/2023 20:00,262
7/5/2023 20:00,270
7/6/2023 20:00,264
7/7/2023 20:00,230
7/8/2023 20:00,228
7/9/2023 20:00,251
7/10/2023 20:00,258
7/11/2023 20:00,266
7/12/2023 20:00,269
7/13/2023 20:00,263
7/14/2023 20:00,239
7/15/2023 20:00,237
7/16/2023 20:00,268
7/17/2023 20:00,267
7/18/2023 20:00,269
7/19/2023 20:00,265
7/20/2023 20:00,255
7/21/2023 20:00,240
7/22/2023 20:00,229
7/23/2023 20:00,261
7/24/2023 20:00,261
7/25/2023 20:00,267
7/26/2023 20:00,272
7/27/2023 20:00,271
7/28/2023 20:00,246
7/29/2023 20:00,227
7/30/2023 20:00,247
7/31/2023 20:00,251
8/1/2023 20:00,256
8/2/2023 20:00,260
8/3/2023 20:00,255
8/4/2023 20:00,240
8/5/2023 20:00,230
8/6/2023 20:00,265
8/7/2023 20:00,264
8/8/2023 20:00,256
8/9/2023 20:00,259
8/10/2023 20:00,260
8/11/2023 20:00,244
8/12/2023 20:00,233
8/13/2023 20:00,252
8/14/2023 20:00,265
8/15/2023 20:00,264
8/16/2023 20:00,264
8/17/2023 20:00,255
