Time,Data
11/7/2022 19:00,31.7
11/8/2022 19:00,32.6
11/9/2022 19:00,31.6
11/10/2022 19:00,31.3
11/11/2022 19:00,27.8
11/12/2022 19:00,28.5
11/13/2022 19:00,32.9
11/14/2022 19:00,33.3
11/15/2022 19:00,33.3
11/16/2022 19:00,32
11/17/2022 19:00,31
11/18/2022 19:00,27.5
11/19/2022 19:00,27.9
11/20/2022 19:00,31.1
11/21/2022 19:00,29.8
11/22/2022 19:00,27.1
11/23/2022 19:00,25
11/24/2022 19:00,23.9
11/25/2022 19:00,24.6
11/26/2022 19:00,23.5
11/27/2022 19:00,30.2
11/28/2022 19:00,31.8
11/29/2022 19:00,32.3
11/30/2022 19:00,32.2
12/1/2022 19:00,32.1
12/2/2022 19:00,27.6
12/3/2022 19:00,26.8
12/4/2022 19:00,32.8
12/5/2022 19:00,33.5
12/6/2022 19:00,29.7
12/7/2022 19:00,30
12/8/2022 19:00,30.6
12/9/2022 19:00,28.6
12/10/2022 19:00,28.1
12/11/2022 19:00,30.1
12/12/2022 19:00,29.3
12/13/2022 19:00,29.3
12/14/2022 19:00,29.5
12/15/2022 19:00,27.9
12/16/2022 19:00,25.2
12/17/2022 19:00,24.5
12/18/2022 19:00,26.8
12/19/2022 19:00,27
12/20/2022 19:00,27.3
12/21/2022 19:00,26.8
12/22/2022 19:00,25
12/23/2022 19:00,24.1
12/24/2022 19:00,22.3
12/25/2022 19:00,23.1
12/26/2022 19:00,24.6
12/27/2022 19:00,24.4
12/28/2022 19:00,24.1
12/29/2022 19:00,24.5
12/30/2022 19:00,22.4
12/31/2022 19:00,23.6
1/1/2023 19:00,23.6
1/2/2023 19:00,25.5
1/3/2023 19:00,26.3
1/4/2023 19:00,26.5
1/5/2023 19:00,26.2
1/6/2023 19:00,24.5
1/7/2023 19:00,24.1
1/8/2023 19:00,26.4
1/9/2023 19:00,27.3
1/10/2023 19:00,27.7
1/11/2023 19:00,26.7
1/12/2023 19:00,27
1/13/2023 19:00,24.8
1/14/2023 19:00,25.3
1/15/2023 19:00,26.4
1/16/2023 19:00,27.9
1/17/2023 19:00,28.5
1/18/2023 19:00,28.9
1/19/2023 19:00,28.6
1/20/2023 19:00,27
1/21/2023 19:00,26.2
1/22/2023 19:00,31
1/23/2023 19:00,31.1
1/24/2023 19:00,32.4
1/25/2023 19:00,31.8
1/26/2023 19:00,31.2
1/27/2023 19:00,27.8
1/28/2023 19:00,27.5
1/29/2023 19:00,32.8
1/30/2023 19:00,32.2
1/31/2023 19:00,32.7
2/1/2023 19:00,31.4
2/2/2023 19:00,31.3
2/3/2023 19:00,27.8
2/4/2023 19:00,27.1
2/5/2023 19:00,30.7
2/6/2023 19:00,32.9
2/7/2023 19:00,31.2
2/8/2023 19:00,32.7
2/9/2023 19:00,32.8
2/10/2023 19:00,28.3
2/11/2023 19:00,26.7
2/12/2023 19:00,31.4
2/13/2023 19:00,32.1
2/14/2023 19:00,29.9
2/15/2023 19:00,30.8
2/16/2023 19:00,30.6
2/17/2023 19:00,26.5
2/18/2023 19:00,25.1
2/19/2023 19:00,29.7
2/20/2023 19:00,31.4
2/21/2023 19:00,31.4
2/22/2023 19:00,31
2/23/2023 19:00,29.3
2/24/2023 19:00,24.8
2/25/2023 19:00,23.6
2/26/2023 19:00,25.9
2/27/2023 19:00,27.1
2/28/2023 19:00,30.4
3/1/2023 19:00,31.1
3/2/2023 19:00,30
3/3/2023 19:00,25.5
3/4/2023 19:00,24.8
3/5/2023 19:00,29.8
3/6/2023 19:00,30.7
3/7/2023 19:00,30.8
3/8/2023 19:00,30.4
