Time,Data
11/8/2022 19:00,125
11/9/2022 19:00,126
11/10/2022 19:00,123
11/11/2022 19:00,111
11/12/2022 19:00,109
11/13/2022 19:00,123
11/14/2022 19:00,127
11/15/2022 19:00,124
11/16/2022 19:00,125
11/17/2022 19:00,123
11/18/2022 19:00,109
11/19/2022 19:00,109
11/20/2022 19:00,122
11/21/2022 19:00,120
11/22/2022 19:00,106
11/23/2022 19:00,94.4
11/24/2022 19:00,93.6
11/25/2022 19:00,95.3
11/26/2022 19:00,94.2
11/27/2022 19:00,114
11/28/2022 19:00,125
11/29/2022 19:00,127
11/30/2022 19:00,125
12/1/2022 19:00,124
12/2/2022 19:00,108
12/3/2022 19:00,108
12/4/2022 19:00,124
12/5/2022 19:00,123
12/6/2022 19:00,123
12/7/2022 19:00,124
12/8/2022 19:00,120
12/9/2022 19:00,112
12/10/2022 19:00,110
12/11/2022 19:00,119
12/12/2022 19:00,122
12/13/2022 19:00,117
12/14/2022 19:00,110
12/15/2022 19:00,104
12/16/2022 19:00,93.7
12/17/2022 19:00,94.1
12/18/2022 19:00,106
12/19/2022 19:00,106
12/20/2022 19:00,105
12/21/2022 19:00,99.7
12/22/2022 19:00,96.5
12/23/2022 19:00,96.5
12/24/2022 19:00,96.4
12/25/2022 19:00,95.7
12/26/2022 19:00,99.2
12/27/2022 19:00,97.7
12/28/2022 19:00,96.4
12/29/2022 19:00,95.3
12/30/2022 19:00,93.7
12/31/2022 19:00,92.9
1/1/2023 19:00,95.7
1/2/2023 19:00,104
1/3/2023 19:00,103
1/4/2023 19:00,102
1/5/2023 19:00,101
1/6/2023 19:00,94.7
1/7/2023 19:00,95.9
1/8/2023 19:00,105
1/9/2023 19:00,106
1/10/2023 19:00,106
1/11/2023 19:00,106
1/12/2023 19:00,105
1/13/2023 19:00,95.8
1/14/2023 19:00,94.5
1/15/2023 19:00,98.2
1/16/2023 19:00,110
1/17/2023 19:00,112
1/18/2023 19:00,114
1/19/2023 19:00,113
1/20/2023 19:00,103
1/21/2023 19:00,100
1/22/2023 19:00,115
1/23/2023 19:00,120
1/24/2023 19:00,119
1/25/2023 19:00,121
1/26/2023 19:00,118
1/27/2023 19:00,105
1/28/2023 19:00,105
1/29/2023 19:00,121
1/30/2023 19:00,125
1/31/2023 19:00,127
2/1/2023 19:00,125
2/2/2023 19:00,117
2/3/2023 19:00,103
2/4/2023 19:00,95.6
2/5/2023 19:00,116
2/6/2023 19:00,122
2/7/2023 19:00,119
2/8/2023 19:00,121
2/9/2023 19:00,118
2/10/2023 19:00,109
2/11/2023 19:00,106
2/12/2023 19:00,120
2/13/2023 19:00,119
2/14/2023 19:00,121
2/15/2023 19:00,123
2/16/2023 19:00,122
2/17/2023 19:00,109
2/18/2023 19:00,107
2/19/2023 19:00,120
2/20/2023 19:00,124
2/21/2023 19:00,125
2/22/2023 19:00,122
2/23/2023 19:00,120
2/24/2023 19:00,110
2/25/2023 19:00,103
2/26/2023 19:00,114
2/27/2023 19:00,110
2/28/2023 19:00,121
3/1/2023 19:00,125
3/2/2023 19:00,121
3/3/2023 19:00,109
3/4/2023 19:00,108
3/5/2023 19:00,123
3/6/2023 19:00,128
3/7/2023 19:00,127
3/8/2023 19:00,124
3/9/2023 19:00,123
3/10/2023 19:00,110
3/11/2023 19:00,105
3/12/2023 20:00,121
3/13/2023 20:00,104
3/14/2023 20:00,119
3/15/2023 20:00,125
3/16/2023 20:00,122
3/17/2023 20:00,107
3/18/2023 20:00,105
3/19/2023 20:00,124
3/20/2023 20:00,124
3/21/2023 20:00,124
3/22/2023 20:00,124
3/23/2023 20:00,124
3/24/2023 20:00,108
3/25/2023 20:00,107
3/26/2023 20:00,124
3/27/2023 20:00,127
3/28/2023 20:00,125
3/29/2023 20:00,125
3/30/2023 20:00,122
3/31/2023 20:00,99.9
4/1/2023 20:00,98.8
4/2/2023 20:00,113
4/3/2023 20:00,108
4/4/2023 20:00,107
4/5/2023 20:00,110
4/6/2023 20:00,107
4/7/2023 20:00,99.6
4/8/2023 20:00,98.6
4/9/2023 20:00,118
4/10/2023 20:00,122
4/11/2023 20:00,120
4/12/2023 20:00,120
4/13/2023 20:00,120
4/14/2023 20:00,113
4/15/2023 20:00,111
4/16/2023 20:00,121
4/17/2023 20:00,126
4/18/2023 20:00,123
4/19/2023 20:00,126
4/20/2023 20:00,121
4/21/2023 20:00,108
4/22/2023 20:00,109
4/23/2023 20:00,123
4/24/2023 20:00,124
4/25/2023 20:00,125
4/26/2023 20:00,120
4/27/2023 20:00,124
4/28/2023 20:00,110
4/29/2023 20:00,109
4/30/2023 20:00,123
5/1/2023 20:00,122
5/2/2023 20:00,123
5/3/2023 20:00,123
5/4/2023 20:00,121
5/5/2023 20:00,109
5/6/2023 20:00,108
5/7/2023 20:00,119
5/8/2023 20:00,121
5/9/2023 20:00,120
5/10/2023 20:00,120
5/11/2023 20:00,119
5/12/2023 20:00,112
5/13/2023 20:00,107
5/14/2023 20:00,119
5/15/2023 20:00,119
5/16/2023 20:00,119
5/17/2023 20:00,118
5/18/2023 20:00,111
5/19/2023 20:00,102
5/20/2023 20:00,102
5/21/2023 20:00,111
5/22/2023 20:00,109
5/23/2023 20:00,108
5/24/2023 20:00,106
5/25/2023 20:00,103
5/26/2023 20:00,94.2
5/27/2023 20:00,91.9
5/28/2023 20:00,93.6
5/29/2023 20:00,105
5/30/2023 20:00,109
5/31/2023 20:00,108
6/1/2023 20:00,105
6/2/2023 20:00,95.6
6/3/2023 20:00,94.6
6/4/2023 20:00,104
6/5/2023 20:00,105
6/6/2023 20:00,106
6/7/2023 20:00,106
6/8/2023 20:00,105
6/9/2023 20:00,94.7
6/10/2023 20:00,94.5
6/11/2023 20:00,107
