Time,Data
11/7/2022 19:00,128
11/8/2022 19:00,127
11/9/2022 19:00,132
11/10/2022 19:00,132
11/11/2022 19:00,120
11/12/2022 19:00,119
11/13/2022 19:00,130
11/14/2022 19:00,131
11/15/2022 19:00,131
11/16/2022 19:00,137
11/17/2022 19:00,129
11/18/2022 19:00,117
11/19/2022 19:00,113
11/20/2022 19:00,125
11/21/2022 19:00,128
11/22/2022 19:00,121
11/23/2022 19:00,114
11/24/2022 19:00,116
11/25/2022 19:00,118
11/26/2022 19:00,113
11/27/2022 19:00,126
11/28/2022 19:00,133
11/29/2022 19:00,138
11/30/2022 19:00,135
12/1/2022 19:00,132
12/2/2022 19:00,122
12/3/2022 19:00,115
12/4/2022 19:00,129
12/5/2022 19:00,131
12/6/2022 19:00,131
12/7/2022 19:00,132
12/8/2022 19:00,133
12/9/2022 19:00,123
12/10/2022 19:00,118
12/11/2022 19:00,124
12/12/2022 19:00,123
12/13/2022 19:00,120
12/14/2022 19:00,122
12/15/2022 19:00,119
12/16/2022 19:00,108
12/17/2022 19:00,111
12/18/2022 19:00,116
12/19/2022 19:00,118
12/20/2022 19:00,119
12/21/2022 19:00,117
12/22/2022 19:00,115
12/23/2022 19:00,111
12/24/2022 19:00,108
12/25/2022 19:00,108
12/26/2022 19:00,109
12/27/2022 19:00,108
12/28/2022 19:00,108
12/29/2022 19:00,104
12/30/2022 19:00,107
12/31/2022 19:00,105
1/1/2023 19:00,108
1/2/2023 19:00,118
1/3/2023 19:00,119
1/4/2023 19:00,118
1/5/2023 19:00,123
1/6/2023 19:00,118
1/7/2023 19:00,113
1/8/2023 19:00,121
1/9/2023 19:00,122
1/10/2023 19:00,124
1/11/2023 19:00,126
1/12/2023 19:00,125
1/13/2023 19:00,119
1/14/2023 19:00,115
1/15/2023 19:00,120
1/16/2023 19:00,127
1/17/2023 19:00,130
1/18/2023 19:00,130
1/19/2023 19:00,131
1/20/2023 19:00,121
1/21/2023 19:00,119
1/22/2023 19:00,129
1/23/2023 19:00,134
1/24/2023 19:00,141
1/25/2023 19:00,140
1/26/2023 19:00,142
1/27/2023 19:00,127
1/28/2023 19:00,128
1/29/2023 19:00,138
1/30/2023 19:00,140
1/31/2023 19:00,138
2/1/2023 19:00,136
2/2/2023 19:00,135
2/3/2023 19:00,125
2/4/2023 19:00,119
2/5/2023 19:00,134
2/6/2023 19:00,144
2/7/2023 19:00,135
2/8/2023 19:00,133
2/9/2023 19:00,133
2/10/2023 19:00,114
2/11/2023 19:00,116
2/12/2023 19:00,125
2/13/2023 19:00,132
2/14/2023 19:00,137
2/15/2023 19:00,139
2/16/2023 19:00,138
2/17/2023 19:00,122
2/18/2023 19:00,119
2/19/2023 19:00,135
2/20/2023 19:00,139
2/21/2023 19:00,142
2/22/2023 19:00,137
2/23/2023 19:00,135
2/24/2023 19:00,122
2/25/2023 19:00,123
2/26/2023 19:00,130
2/27/2023 19:00,135
2/28/2023 19:00,133
3/1/2023 19:00,139
3/2/2023 19:00,138
3/3/2023 19:00,129
3/4/2023 19:00,124
3/5/2023 19:00,135
3/6/2023 19:00,137
3/7/2023 19:00,135
3/8/2023 19:00,135
3/9/2023 19:00,135
3/10/2023 19:00,124
3/11/2023 19:00,120
3/12/2023 20:00,133
3/13/2023 20:00,127
3/14/2023 20:00,132
3/15/2023 20:00,134
3/16/2023 20:00,136
3/17/2023 20:00,123
3/18/2023 20:00,119
3/19/2023 20:00,134
3/20/2023 20:00,136
3/21/2023 20:00,129
3/22/2023 20:00,128
3/23/2023 20:00,135
3/24/2023 20:00,127
3/25/2023 20:00,125
3/26/2023 20:00,132
3/27/2023 20:00,137
3/28/2023 20:00,134
3/29/2023 20:00,134
3/30/2023 20:00,131
3/31/2023 20:00,121
4/1/2023 20:00,112
4/2/2023 20:00,123
4/3/2023 20:00,128
4/4/2023 20:00,129
4/5/2023 20:00,129
4/6/2023 20:00,129
4/7/2023 20:00,116
4/8/2023 20:00,114
4/9/2023 20:00,128
4/10/2023 20:00,131
4/11/2023 20:00,131
4/12/2023 20:00,139
4/13/2023 20:00,137
4/14/2023 20:00,124
4/15/2023 20:00,122
4/16/2023 20:00,135
4/17/2023 20:00,139
4/18/2023 20:00,140
4/19/2023 20:00,140
4/20/2023 20:00,142
4/21/2023 20:00,124
4/22/2023 20:00,119
4/23/2023 20:00,136
4/24/2023 20:00,136
4/25/2023 20:00,135
4/26/2023 20:00,138
4/27/2023 20:00,134
4/28/2023 20:00,122
4/29/2023 20:00,124
4/30/2023 20:00,132
5/1/2023 20:00,134
5/2/2023 20:00,136
5/3/2023 20:00,131
5/4/2023 20:00,132
5/5/2023 20:00,121
5/6/2023 20:00,115
5/7/2023 20:00,130
5/8/2023 20:00,130
5/9/2023 20:00,126
5/10/2023 20:00,130
5/11/2023 20:00,132
5/12/2023 20:00,120
5/13/2023 20:00,123
5/14/2023 20:00,132
5/15/2023 20:00,137
5/16/2023 20:00,136
5/17/2023 20:00,135
5/18/2023 20:00,132
5/19/2023 20:00,119
5/20/2023 20:00,117
5/21/2023 20:00,129
5/22/2023 20:00,131
5/23/2023 20:00,134
5/24/2023 20:00,134
5/25/2023 20:00,125
5/26/2023 20:00,114
5/27/2023 20:00,117
5/28/2023 20:00,124
5/29/2023 20:00,133
5/30/2023 20:00,135
5/31/2023 20:00,132
6/1/2023 20:00,134
6/2/2023 20:00,119
6/3/2023 20:00,116
6/4/2023 20:00,128
6/5/2023 20:00,128
6/6/2023 20:00,133
6/7/2023 20:00,130
6/8/2023 20:00,129
6/9/2023 20:00,122
6/10/2023 20:00,118
6/11/2023 20:00,129
6/12/2023 20:00,132
6/13/2023 20:00,133
6/14/2023 20:00,136
6/15/2023 20:00,126
6/16/2023 20:00,117
6/17/2023 20:00,118
6/18/2023 20:00,128
6/19/2023 20:00,134
6/20/2023 20:00,132
6/21/2023 20:00,132
6/22/2023 20:00,132
6/23/2023 20:00,122
6/24/2023 20:00,121
6/25/2023 20:00,131
6/26/2023 20:00,130
6/27/2023 20:00,125
6/28/2023 20:00,125
6/29/2023 20:00,128
6/30/2023 20:00,120
7/1/2023 20:00,119
7/2/2023 20:00,129
7/3/2023 20:00,128
7/4/2023 20:00,132
7/5/2023 20:00,130
7/6/2023 20:00,129
7/7/2023 20:00,114
7/8/2023 20:00,113
7/9/2023 20:00,126
7/10/2023 20:00,131
7/11/2023 20:00,133
7/12/2023 20:00,134
7/13/2023 20:00,131
7/14/2023 20:00,121
7/15/2023 20:00,118
7/16/2023 20:00,132
7/17/2023 20:00,136
7/18/2023 20:00,132
7/19/2023 20:00,129
7/20/2023 20:00,129
7/21/2023 20:00,115
7/22/2023 20:00,115
7/23/2023 20:00,126
7/24/2023 20:00,126
7/25/2023 20:00,133
7/26/2023 20:00,130
7/27/2023 20:00,131
7/28/2023 20:00,118
7/29/2023 20:00,114
7/30/2023 20:00,113
8/23/2023 20:00,147
8/24/2023 20:00,130
8/25/2023 20:00,118
8/26/2023 20:00,113
8/27/2023 20:00,129
8/28/2023 20:00,134
8/29/2023 20:00,130
8/30/2023 20:00,131
8/31/2023 20:00,128
9/1/2023 20:00,112
9/2/2023 20:00,114
9/3/2023 20:00,121
9/4/2023 20:00,131
9/5/2023 20:00,134
9/6/2023 20:00,136
9/7/2023 20:00,132
