Time,Data
11/7/2022 19:00,10.7
11/8/2022 19:00,10.9
11/9/2022 19:00,10.8
11/10/2022 19:00,10.6
11/11/2022 19:00,9.83
11/12/2022 19:00,9.55
11/13/2022 19:00,10.5
11/14/2022 19:00,10.5
11/15/2022 19:00,10.9
11/16/2022 19:00,10.8
11/17/2022 19:00,10.2
11/18/2022 19:00,9.14
11/19/2022 19:00,9.21
11/20/2022 19:00,10
11/21/2022 19:00,9.9
11/22/2022 19:00,9.08
11/23/2022 19:00,8.53
11/24/2022 19:00,8.59
11/25/2022 19:00,8.47
11/26/2022 19:00,8.56
11/27/2022 19:00,10.1
11/28/2022 19:00,10.5
11/29/2022 19:00,10.7
11/30/2022 19:00,10.4
12/1/2022 19:00,10.3
12/2/2022 19:00,9.73
12/3/2022 19:00,9.47
12/4/2022 19:00,10.1
12/5/2022 19:00,10.3
12/6/2022 19:00,10.1
12/7/2022 19:00,9.91
12/8/2022 19:00,10.1
12/9/2022 19:00,9.44
12/10/2022 19:00,9.3
12/11/2022 19:00,9.78
12/12/2022 19:00,9.9
12/13/2022 19:00,9.94
12/14/2022 19:00,9.74
12/15/2022 19:00,9.38
12/16/2022 19:00,8.79
12/17/2022 19:00,8.64
12/18/2022 19:00,9.42
12/19/2022 19:00,9.29
12/20/2022 19:00,9.2
12/21/2022 19:00,8.97
12/22/2022 19:00,8.73
12/23/2022 19:00,8.35
12/24/2022 19:00,8.14
12/25/2022 19:00,8.2
12/26/2022 19:00,8.4
12/27/2022 19:00,8.42
12/28/2022 19:00,8.35
12/29/2022 19:00,8.19
12/30/2022 19:00,8.22
12/31/2022 19:00,8.28
1/1/2023 19:00,8.43
1/2/2023 19:00,9.01
1/3/2023 19:00,9.03
1/4/2023 19:00,9.12
1/5/2023 19:00,9.3
1/6/2023 19:00,8.77
1/7/2023 19:00,8.76
1/8/2023 19:00,9.38
1/9/2023 19:00,9.8
1/10/2023 19:00,9.9
1/11/2023 19:00,9.49
1/12/2023 19:00,9.68
1/13/2023 19:00,9.03
1/14/2023 19:00,8.95
1/15/2023 19:00,9.19
1/16/2023 19:00,10
1/17/2023 19:00,9.89
1/18/2023 19:00,9.94
1/19/2023 19:00,10.3
1/20/2023 19:00,9.71
1/21/2023 19:00,9.11
1/22/2023 19:00,9.87
1/23/2023 19:00,9.99
1/24/2023 19:00,9.85
1/25/2023 19:00,10
1/26/2023 19:00,9.87
1/27/2023 19:00,9.39
1/28/2023 19:00,9.33
1/29/2023 19:00,10.2
1/30/2023 19:00,10.4
1/31/2023 19:00,10.7
2/1/2023 19:00,10.5
2/2/2023 19:00,10.7
2/3/2023 19:00,9.12
2/4/2023 19:00,7.26
2/5/2023 19:00,8.93
2/6/2023 19:00,9.94
2/7/2023 19:00,10.2
2/8/2023 19:00,9.97
2/9/2023 19:00,9.99
2/10/2023 19:00,9.09
2/11/2023 19:00,8.75
2/12/2023 19:00,9.63
2/13/2023 19:00,9.83
2/14/2023 19:00,9.98
2/15/2023 19:00,10.2
2/16/2023 19:00,10.2
2/17/2023 19:00,9.2
2/18/2023 19:00,8.93
2/19/2023 19:00,9.75
2/20/2023 19:00,10
2/21/2023 19:00,10
2/22/2023 19:00,9.99
2/23/2023 19:00,9.99
2/24/2023 19:00,8.81
2/25/2023 19:00,8.92
2/26/2023 19:00,9.26
2/27/2023 19:00,9.47
2/28/2023 19:00,9.72
3/1/2023 19:00,10
3/2/2023 19:00,10.1
3/3/2023 19:00,9.06
3/4/2023 19:00,9.08
3/5/2023 19:00,9.78
3/6/2023 19:00,10.3
3/7/2023 19:00,10.3
3/8/2023 19:00,10.3
3/9/2023 19:00,10.1
3/10/2023 19:00,9.3
3/11/2023 19:00,9.53
3/12/2023 20:00,10.2
3/13/2023 20:00,8.58
3/14/2023 20:00,9.91
3/15/2023 20:00,10
3/16/2023 20:00,10.1
3/17/2023 20:00,9.15
3/18/2023 20:00,8.99
3/19/2023 20:00,9.56
3/20/2023 20:00,9.91
3/21/2023 20:00,10.2
3/22/2023 20:00,10.1
3/23/2023 20:00,9.91
3/24/2023 20:00,9.05
3/25/2023 20:00,8.79
3/26/2023 20:00,9.88
3/27/2023 20:00,10.1
3/28/2023 20:00,10.1
3/29/2023 20:00,9.85
3/30/2023 20:00,9.75
3/31/2023 20:00,8.29
4/1/2023 20:00,8.01
4/2/2023 20:00,8.53
4/3/2023 20:00,8.68
4/4/2023 20:00,8.79
4/5/2023 20:00,8.85
4/6/2023 20:00,8.96
4/7/2023 20:00,8.51
4/8/2023 20:00,8.6
4/9/2023 20:00,9.43
4/10/2023 20:00,10.1
4/11/2023 20:00,10.2
4/12/2023 20:00,10.1
4/13/2023 20:00,9.96
4/14/2023 20:00,9.03
4/15/2023 20:00,9.12
4/16/2023 20:00,9.94
4/17/2023 20:00,10.1
4/18/2023 20:00,10.3
4/19/2023 20:00,10.1
4/20/2023 20:00,10
4/21/2023 20:00,9.32
4/22/2023 20:00,9.32
4/23/2023 20:00,10.4
4/24/2023 20:00,10.1
4/25/2023 20:00,10.1
4/26/2023 20:00,10.3
4/27/2023 20:00,10.4
4/28/2023 20:00,9.4
4/29/2023 20:00,9.2
4/30/2023 20:00,9.96
5/1/2023 20:00,10.1
5/2/2023 20:00,10.1
5/3/2023 20:00,10.1
5/4/2023 20:00,9.83
5/5/2023 20:00,9.28
5/6/2023 20:00,9.18
5/7/2023 20:00,9.86
5/8/2023 20:00,9.61
5/9/2023 20:00,9.2
5/10/2023 20:00,9.66
5/11/2023 20:00,9.64
5/12/2023 20:00,9.02
5/13/2023 20:00,8.71
5/14/2023 20:00,9.48
5/15/2023 20:00,9.74
5/16/2023 20:00,9.68
5/17/2023 20:00,9.37
5/18/2023 20:00,8.99
5/19/2023 20:00,8.29
5/20/2023 20:00,8.37
5/21/2023 20:00,8.9
5/22/2023 20:00,9.18
5/23/2023 20:00,9.16
5/24/2023 20:00,8.75
5/25/2023 20:00,8.41
5/26/2023 20:00,7.83
5/27/2023 20:00,7.81
5/28/2023 20:00,8.04
5/29/2023 20:00,8.73
5/30/2023 20:00,9.09
5/31/2023 20:00,8.86
6/1/2023 20:00,8.82
6/2/2023 20:00,8.26
6/3/2023 20:00,8.04
6/4/2023 20:00,8.53
6/5/2023 20:00,8.45
6/6/2023 20:00,8.55
6/7/2023 20:00,8.68
6/8/2023 20:00,8.7
6/9/2023 20:00,8.08
6/10/2023 20:00,7.91
6/11/2023 20:00,8.6
6/12/2023 20:00,8.98
6/13/2023 20:00,9.03
6/14/2023 20:00,8.8
6/15/2023 20:00,8.64
6/16/2023 20:00,8.06
6/17/2023 20:00,8.07
6/18/2023 20:00,8.25
6/19/2023 20:00,8.94
6/20/2023 20:00,9.4
6/21/2023 20:00,9.45
6/22/2023 20:00,9.3
6/23/2023 20:00,8.74
6/24/2023 20:00,8.63
6/25/2023 20:00,9.01
6/26/2023 20:00,9.01
6/27/2023 20:00,8.99
6/28/2023 20:00,8.76
6/29/2023 20:00,8.54
6/30/2023 20:00,8.05
7/1/2023 20:00,8.19
7/2/2023 20:00,8.61
7/3/2023 20:00,8.43
7/4/2023 20:00,8.76
7/5/2023 20:00,8.86
7/6/2023 20:00,9.07
