Time,Data
11/8/2022 19:00,35.2
11/9/2022 19:00,34.4
11/10/2022 19:00,32.3
11/11/2022 19:00,31.9
11/12/2022 19:00,33.1
11/13/2022 19:00,36
11/14/2022 19:00,36.4
11/15/2022 19:00,35.4
11/16/2022 19:00,36.1
11/17/2022 19:00,36.9
11/18/2022 19:00,37.4
11/19/2022 19:00,36.8
11/20/2022 19:00,38.2
11/21/2022 19:00,37.8
11/22/2022 19:00,36.1
11/23/2022 19:00,35.3
11/24/2022 19:00,35.1
11/25/2022 19:00,34.5
11/26/2022 19:00,34.9
11/27/2022 19:00,35.3
11/28/2022 19:00,37.6
11/29/2022 19:00,38.4
11/30/2022 19:00,38.8
12/1/2022 19:00,40.7
12/2/2022 19:00,38.4
12/3/2022 19:00,38.6
12/4/2022 19:00,39.7
12/5/2022 19:00,38.8
12/6/2022 19:00,37
12/7/2022 19:00,37.7
12/8/2022 19:00,37.7
12/9/2022 19:00,38
12/10/2022 19:00,37.4
12/11/2022 19:00,39.1
12/12/2022 19:00,39.6
12/13/2022 19:00,35.4
12/14/2022 19:00,35.3
12/15/2022 19:00,34.1
12/16/2022 19:00,33.7
12/17/2022 19:00,33.9
12/18/2022 19:00,35.8
12/19/2022 19:00,35.7
12/20/2022 19:00,35.1
12/21/2022 19:00,34.6
12/22/2022 19:00,33.1
12/23/2022 19:00,36.6
12/24/2022 19:00,36.5
12/25/2022 19:00,36.5
12/26/2022 19:00,36.3
12/27/2022 19:00,35.6
12/28/2022 19:00,35.3
12/29/2022 19:00,33.3
12/30/2022 19:00,33.1
12/31/2022 19:00,33
1/1/2023 19:00,33.6
1/2/2023 19:00,33.7
1/3/2023 19:00,33.6
1/4/2023 19:00,34.3
1/5/2023 19:00,35.5
1/6/2023 19:00,34.8
1/7/2023 19:00,35.3
1/8/2023 19:00,37.6
1/9/2023 19:00,39.8
1/10/2023 19:00,39.2
1/11/2023 19:00,39.1
1/12/2023 19:00,38.5
1/13/2023 19:00,39.5
1/14/2023 19:00,40.3
1/15/2023 19:00,39.4
1/16/2023 19:00,40.2
1/17/2023 19:00,39.3
1/18/2023 19:00,39.2
1/19/2023 19:00,39.1
1/20/2023 19:00,39.1
1/21/2023 19:00,38.8
1/22/2023 19:00,40.1
1/23/2023 19:00,40.4
1/24/2023 19:00,39.9
1/25/2023 19:00,37.1
1/26/2023 19:00,41.1
1/27/2023 19:00,39.7
1/28/2023 19:00,38.3
1/29/2023 19:00,38
1/30/2023 19:00,39.5
1/31/2023 19:00,39.8
2/1/2023 19:00,39.8
2/2/2023 19:00,39.7
2/3/2023 19:00,39.7
2/4/2023 19:00,40.3
2/5/2023 19:00,38.8
2/6/2023 19:00,38.9
2/7/2023 19:00,37.7
2/8/2023 19:00,37.4
2/9/2023 19:00,36.1
2/10/2023 19:00,36.3
2/11/2023 19:00,36.5
2/12/2023 19:00,36.8
2/13/2023 19:00,36.3
2/14/2023 19:00,34.9
2/15/2023 19:00,35.9
2/16/2023 19:00,37.2
2/17/2023 19:00,38.6
2/18/2023 19:00,36.9
2/19/2023 19:00,36.8
2/20/2023 19:00,37.9
2/21/2023 19:00,38.3
2/22/2023 19:00,38.4
2/23/2023 19:00,37.5
2/24/2023 19:00,37.8
2/25/2023 19:00,36.8
2/26/2023 19:00,36.6
2/27/2023 19:00,37
2/28/2023 19:00,35.9
3/1/2023 19:00,34.6
3/3/2023 19:00,32.6
3/4/2023 19:00,32.7
3/5/2023 19:00,35.5
3/6/2023 19:00,37.9
3/7/2023 19:00,38.9
3/8/2023 19:00,38.3
3/9/2023 19:00,38.4
3/10/2023 19:00,38.3
3/11/2023 19:00,38.1
3/12/2023 20:00,38.9
3/13/2023 20:00,37.7
3/14/2023 20:00,38.9
3/15/2023 20:00,38.8
3/16/2023 20:00,38
3/17/2023 20:00,37.2
3/18/2023 20:00,37.9
3/19/2023 20:00,38.8
3/20/2023 20:00,37.2
3/21/2023 20:00,37.2
3/22/2023 20:00,36.3
3/23/2023 20:00,36.2
3/24/2023 20:00,35.6
3/25/2023 20:00,34.8
3/26/2023 20:00,36.8
3/27/2023 20:00,37.9
3/28/2023 20:00,37.5
3/29/2023 20:00,39.2
3/30/2023 20:00,40.4
3/31/2023 20:00,38
4/1/2023 20:00,39.4
4/2/2023 20:00,36.9
4/3/2023 20:00,31.9
4/4/2023 20:00,32.2
4/5/2023 20:00,33.1
4/6/2023 20:00,36.4
4/7/2023 20:00,36.4
4/8/2023 20:00,36.6
4/9/2023 20:00,36.9
4/10/2023 20:00,37.5
4/11/2023 20:00,35.8
4/12/2023 20:00,33.9
4/13/2023 20:00,32.2
4/14/2023 20:00,32.6
4/15/2023 20:00,33.1
4/16/2023 20:00,35
4/17/2023 20:00,35.8
4/18/2023 20:00,36.2
4/19/2023 20:00,35.2
4/20/2023 20:00,33.2
4/21/2023 20:00,31.4
4/22/2023 20:00,33.1
4/23/2023 20:00,34.7
4/24/2023 20:00,35.2
4/25/2023 20:00,36.3
4/26/2023 20:00,35
4/27/2023 20:00,35.2
4/28/2023 20:00,35.2
4/29/2023 20:00,34.4
4/30/2023 20:00,34.1
5/1/2023 20:00,34.7
5/2/2023 20:00,35.1
5/3/2023 20:00,34.3
5/4/2023 20:00,33.5
5/5/2023 20:00,34
5/6/2023 20:00,31.6
5/7/2023 20:00,32.4
5/8/2023 20:00,33.7
5/9/2023 20:00,33.1
5/10/2023 20:00,32.2
5/11/2023 20:00,30.2
5/12/2023 20:00,29.8
5/13/2023 20:00,29.6
5/14/2023 20:00,32
5/15/2023 20:00,30.6
5/16/2023 20:00,30
5/17/2023 20:00,28.3
5/18/2023 20:00,26
5/19/2023 20:00,24.5
5/20/2023 20:00,25.5
5/21/2023 20:00,26.3
5/22/2023 20:00,26.5
5/23/2023 20:00,25.5
5/24/2023 20:00,27.4
5/25/2023 20:00,27.6
5/26/2023 20:00,26.8
5/27/2023 20:00,25.7
5/28/2023 20:00,25.2
5/29/2023 20:00,26.4
5/30/2023 20:00,28.4
5/31/2023 20:00,29.9
6/1/2023 20:00,29.9
6/2/2023 20:00,26.2
6/3/2023 20:00,26.3
6/4/2023 20:00,29.2
6/5/2023 20:00,28.9
6/6/2023 20:00,31.7
6/7/2023 20:00,32.4
6/8/2023 20:00,30.4
6/9/2023 20:00,27.9
6/10/2023 20:00,27.2
6/11/2023 20:00,28.9
6/12/2023 20:00,28.1
6/13/2023 20:00,27.4
6/14/2023 20:00,27
6/15/2023 20:00,27.4
6/16/2023 20:00,25.1
6/17/2023 20:00,24.6
6/18/2023 20:00,25.4
6/19/2023 20:00,28.8
6/20/2023 20:00,30.9
6/21/2023 20:00,28
6/22/2023 20:00,27
6/27/2023 20:00,32
6/28/2023 20:00,30.7
6/29/2023 20:00,29
6/30/2023 20:00,26.7
7/1/2023 20:00,26
7/2/2023 20:00,26.4
7/3/2023 20:00,25.8
7/4/2023 20:00,29.7
7/5/2023 20:00,31.9
7/6/2023 20:00,31.8
7/7/2023 20:00,33.3
7/8/2023 20:00,32.6
7/9/2023 20:00,34.1
7/10/2023 20:00,34.2
7/11/2023 20:00,35.7
7/12/2023 20:00,36.9
7/13/2023 20:00,33.7
7/14/2023 20:00,31.4
7/15/2023 20:00,31.6
7/16/2023 20:00,34.3
7/17/2023 20:00,35.1
7/18/2023 20:00,33.4
7/19/2023 20:00,34.1
7/20/2023 20:00,32.9
7/21/2023 20:00,31.1
7/22/2023 20:00,31.3
7/23/2023 20:00,33.4
7/24/2023 20:00,35.3
7/25/2023 20:00,40.3
7/26/2023 20:00,40.4
7/27/2023 20:00,40.9
7/28/2023 20:00,39
7/29/2023 20:00,37.6
7/30/2023 20:00,35.5
7/31/2023 20:00,31.3
8/1/2023 20:00,31.9
8/2/2023 20:00,31.6
8/3/2023 20:00,33.7
8/4/2023 20:00,32.8
8/5/2023 20:00,32.1
8/6/2023 20:00,35.2
8/7/2023 20:00,34.1
8/8/2023 20:00,33.7
8/9/2023 20:00,33.9
8/10/2023 20:00,33.3
8/11/2023 20:00,33.3
8/12/2023 20:00,33
8/13/2023 20:00,34.4
8/14/2023 20:00,33.4
8/15/2023 20:00,32.8
8/16/2023 20:00,35
8/17/2023 20:00,33.1
8/18/2023 20:00,30.4
8/19/2023 20:00,30.9
8/20/2023 20:00,32.8
8/21/2023 20:00,31.1
8/22/2023 20:00,30.8
8/23/2023 20:00,30.6
8/24/2023 20:00,29
8/25/2023 20:00,29
8/26/2023 20:00,28.1
8/27/2023 20:00,27.9
8/28/2023 20:00,30.1
8/29/2023 20:00,30
8/30/2023 20:00,27.9
8/31/2023 20:00,28.1
9/1/2023 20:00,26
9/2/2023 20:00,27.5
9/3/2023 20:00,27.5
9/4/2023 20:00,31
9/5/2023 20:00,30
9/6/2023 20:00,30.6
9/7/2023 20:00,30.5
9/8/2023 20:00,27.6
9/9/2023 20:00,27.2
9/10/2023 20:00,28.2
9/11/2023 20:00,29.4
9/12/2023 20:00,29
9/13/2023 20:00,27.5
9/14/2023 20:00,27.2
9/15/2023 20:00,27.4
9/16/2023 20:00,26.9
9/17/2023 20:00,27.6
9/18/2023 20:00,27.8
9/19/2023 20:00,29.1
9/20/2023 20:00,29.4
9/21/2023 20:00,29.2
9/22/2023 20:00,27.8
9/23/2023 20:00,28.2
9/24/2023 20:00,28.6
9/25/2023 20:00,30.2
9/26/2023 20:00,30.4
9/27/2023 20:00,30.3
9/28/2023 20:00,28.1
9/29/2023 20:00,27.9
9/30/2023 20:00,28.7
10/1/2023 20:00,30.2
10/2/2023 20:00,30.3
10/3/2023 20:00,31.9
10/4/2023 20:00,31.5
10/5/2023 20:00,28
10/6/2023 20:00,21.2
